id	doi	title	author	journaltitle	volume	issue	pubdate	pagerange	publisher	type	reviewed-work	abstract
10.2307/41053261	10.2307/41053261	Hopewell Archaeology: A View from the Northern Woodlands	Elliot M. Abrams	Journal of Archaeological Research	17	2	2009-06-01T00:00:00Z	pp. 169-204	Springer	fla		A tremendous amount of research on Hopewellian societies in the Northern Woodlands of the United States has been conducted within the last decade.This article summarizes the main themes and directions of that current research and presents a general model of Hopewellian societies. Local communities appear to have been small in size and relatively sedentary; sets of these communities shared a greater sense of cultural identity within a lineage and possibly clan organization, with each riverine drainage system occupied by a mosaic of lineages. Each in turn was spatially centered on specific clusters of religious, nonresidential public architecture. Alliances were based on a number of historically shifting variables, including religion, kinship, politics, and economics. It is suggested that future research continue existing methodologies and analyses and consider new ecological, genetic, and ideological research as a means of adding greater local historic nuance to this general model of Hopewellian societies.	
10.2307/41053094	10.2307/41053094	Archaeology in the Pacific Islands: An Appraisal of Recent Research	P. V. Kirch, M. I. Weisler	Journal of Archaeological Research	2	4	1994-12-01T00:00:00Z	pp. 285-328	Springer	fla		The Pacific Islands or Oceania, typically subdivided into Melanesia, Micronesia, and Polynesia, have witnessed a virtual explosion of archaeological research, as indicated by this review of the past 5 years' literature. Most recent work centers on one or more of six major themes. Two themes are concerned with the movement of people into the Pacific region: the discovery of Pleistocene-age sites in island Melanesia and the search for early assemblages evidencing Austronesian dispersals. Substantial efforts have abo focused on reconstructing prehistoric economic behavior and on assessing the impacts that colonizing human populations had on isolated and fragile island ecosystems. In the realm of social archaeology, Oceanic studies have contributed to understanding the long-term dimensions of interisland exchange and to the rise of complex, hierarchical sociopolitical systems, especially chiefdoms.	
10.2307/42635591	10.2307/42635591	Historical Archaeology, Contact, and Colonialism in Oceania	James L. Flexner	Journal of Archaeological Research	22	1	2014-03-01T00:00:00Z	pp. 43-87		fla		The archaeology of colonialism can destabilize orthodox historical narratives because of its critical engagement with multiple lines of evidence, revealing ways that different perspectives can complement or contradict what was assumed to be known about the past. In Oceania, archaeology that blends evidence from landscapes, sites, and artifacts with written documents as well as oral traditions reveals the role of indigenous people in shaping colonial encounters across the region over the last five centuries. The challenge lies with how to interpret this material in terms of ongoing struggles over land, resources, and identity in the region today, encapsulated by the tension between global and local.	
10.2307/41053102	10.2307/41053102	Patterns of Exchange and the Social Production of Pigs in Highland New Guinea: Their Relevance to Questions About the Origins and Evolution of Agriculture	Richard E. Blanton, Jody Taylor	Journal of Archaeological Research	3	2	1995-06-01T00:00:00Z	pp. 113-145	Springer	fla		In recent years, cultural anthropologists have made notable progress in understanding the bewildering variety of material exchange transactions found among the aboriginal populations of highland New Guinea. One of the major findings of this work is that competitive exchange behavior may bring in its wake alterations in agronomic practices involving an intensification of production. That intensification is primarily a product of social behavior, rather than an adaptation to climate change or population pressure, is a significant conclusion that should influence the thinking of archaeologists as they investigate past episodes of agronomic change, including the origins of agriculture.	
10.2307/41053114	10.2307/41053114	Recent Ceramic Analysis: 1. Function, Style, and Origins	Prudence M. Rice	Journal of Archaeological Research	4	2	1996-06-01T00:00:00Z	pp. 133-163	Springer	fla		The recent literature on ceramic analysis, which has grown dramatically over the last 8 years, is reviewed in two articles. In this first article attention focuses on studies of function and use, stylistic analyses, and pottery origins. Functional analysis has been the most rapidly expanding segment of the field, particularly experimental, ethnoarchaeological and residue analysis approaches. Stylistic analyses seem to be in a lull, following increasing dissatisfaction with information theory approaches. Questions of pottery origins are enjoying renewed interest and are briefly surveyed here. The second of the two articles will survey compositional investigations, pottery production, and approaches to "ceramic theory." Both reviews close with observations on current directions in ceramic studies.	
10.2307/41053187	10.2307/41053187	Archaeological Tree-Ring Dating at the Millennium	Stephen E. Nash	Journal of Archaeological Research	10	3	2002-09-01T00:00:00Z	pp. 243-275	Springer	fla		Tree-ring analysis provides chronological, environmental, and behavioral data to a wide variety of disciplines related to archaeology including architectural analysis, climatology, ecology, history, hydrology, resource economics, volcanology, and others. The pace of worldwide archaeological tree-ring research has accelerated in the last two decades, and significant contributions have recently been made in archaeological chronology and chronometry, paleoenvironmental reconstruction, and the study of human behavior in both the Old and New Worlds. This paper reviews a sample of recent contributions to tree-ring method, theory, and data, and makes some suggestions for future lines of research.	
10.2307/23018402	10.2307/23018402	Cycles of Civilization in Northern Mesopotamia, 4400—2000 BC	Jason A. Ur	Journal of Archaeological Research	18	4	2010-12-01T00:00:00Z	pp. 387-431		fla		The intensification of fieldwork in northern Mesopotamia, the upper region of the Tigris-Euphrates basin, has revealed two cycles of expansion and reduction in social complexity between 4400 and 2000 BC. These cycles include developments in social inequality, political centralization, craft production and economic specialization, agropastoral land use, and urbanization. Contrary to earlier assessments, many of these developments proceeded independently from the polities in southern Mesopotamia, although not in isolation. This review considers recent data from excavations and surveys in northern Iraq, northeastern Syria, and southeastern Turkey with particular attention to how they are used to construct models of early urban polities.	
10.2307/41053076	10.2307/41053076	Paradigms in Science and Archaeology	G. A. Clark	Journal of Archaeological Research	1	3	1993-09-01T00:00:00Z	pp. 203-234	Springer	fla		The paradigm concept as developed in western philosophy of science contexts is reviewed, and the metaphysical paradigms that govern research protocols in mainstream Old and New World prehistoric archaeology are described and compared. It is concluded that post-1970 New World archaeological research receives its intellectual mandate from anthropology, is founded on postpositivist biases, and is governed by a critical-realist ontology, a modified-objectivist epistemology, and an experimental-manipulative methodology. Post-1970 Old World archaeological research is viewed as a kind of history, remains mostly in the strict empiricist tradition, and is governed by a realist ontology, an inductivist epistemology, and by an observational methodology. The claims of various kinds of postprocessual archaeology are abo evaluated in terms of the paradigm concept.	
10.2307/41053227	10.2307/41053227	Behavioral Ecology and Archaeology	Douglas W. Bird, James F. O'Connell	Journal of Archaeological Research	14	2	2006-06-01T00:00:00Z	pp. 143-188	Springer	fla		Behavioral ecology is the study of adaptive behavior in relation to social and environmental circumstances. Analysts working from this perspective hold that the reproductive strategies and decision-making capacities of all living organisms—including humans—are shaped by natural selection. Archaeologists have been using this proposition in the study of past human behavior for more than 30 years. Significant insights on variation in prehistoric human subsistence, life history, social organization, and their respective fossil and archaeological consequences have been among the more important results.	
10.2307/41053240	10.2307/41053240	Cultural Transmission Theory and the Archaeological Record: Providing Context to Understanding Variation and Temporal Changes in Material Culture	Jelmer W. Eerkens, Carl P. Lipo	Journal of Archaeological Research	15	3	2007-09-01T00:00:00Z	pp. 239-274	Springer	fla		Cultural transmission (CT) is implicit in many explanations of culture change. Formal CT models were defined by anthropologists 30 years ago and have been a subject of active research in the social sciences in the ensuing years. Although increasing in popularity in recent years, CT has not seen extensive use in archaeological research, despite the quantitative rigor of many CT models and the ability to create testable hypotheses. Part of the reason for the slow adoption, we argue, has been the continuing focus on change in central tendency and mode in archaeology, instead of change in dispersion or variance. Yet archaeological research provides an excellent data source for exploring processes of CT. We review CT research in the anthropological sciences and outline the benefits and drawbacks of this theoretical framework for the study of material culture. We argue that CT can shed much light on our understandings of why material technology changes over time, including explanations of differential rates of change among different technologies. We further argue that transmission processes are greatly affected by the content, context, and mode of transmission and fundamentally structure variation in material culture. Including ideas from CT can provide greater context for explaining and understanding changes in the variation of artifacts over time. Finally, we outline what we feel should be the goals of CT research in archaeology in the coming years.	
10.2307/41053167	10.2307/41053167	Warfare in Prehistoric and Early Historic Eastern North America	George R. Milner	Journal of Archaeological Research	7	2	1999-06-01T00:00:00Z	pp. 105-151	Springer	fla		Recent criticisms of the use of historically and ethnographically recorded conflicts as models for warfare in prehistoric times force archaeologists to reexamine assumptions about the frequency, severity, and effects of intergroup fighting. In eastern North America, skeletons of victims and palisaded settlements—the only information consistently available on intergroup hostilities—indicate that the prevalence of conflicts varied greatly over time and space. Occasionally the attacks, typically ambushes of small numbers of people, cumulatively resulted in numerous casualties. Variation in palisade strength is consistent with the organizational structure and warrior mobilization potential of late prehistoric societies in different parts of the Eastern Woodlands.	
10.2307/41053173	10.2307/41053173	Stone Tool Research at the End of the Millennium: Classification, Function, and Behavior	George H. Odell	Journal of Archaeological Research	9	1	2001-03-01T00:00:00Z	pp. 45-100	Springer	fla		This is the second of the two papers that review the literature of archaeological lithic analysis over the last decade. This paper concentrates on aspects of stone tool research that are not directly related to the production or procurement of the tools themselves. It is divided into classification, functional analyses, behavioral processes, and approaches to the subject currently popular among analysts. As with the previous paper, an attempt has been made to be as comprehensive as is reasonable, though availability of sources has resulted in an emphasis on North American literature.	
10.2307/41053243	10.2307/41053243	What Maya Collapse? Terminal Classic Variation in the Maya Lowlands	James J. Aimers	Journal of Archaeological Research	15	4	2007-12-01T00:00:00Z	pp. 329-377	Springer	fla		Interest in the lowland Maya collapse is stronger than ever, and there are now hundreds of studies that focus on the era from approximately A. D. 750 to A. D.1050. In the past, scholars have tended to generalize explanations of the collapse from individual sites and regions to the lowlands as a whole. More recent approaches stress the great diversity of changes that occurred across the lowlands during the Terminal Classic and Early Postclassic periods. Thus, there is now a consensus that Maya civilization as a whole did not collapse, although many zones did experience profound change.	
10.2307/41053172	10.2307/41053172	Low-Level Food Production	Bruce D. Smith	Journal of Archaeological Research	9	1	2001-03-01T00:00:00Z	pp. 1-43	Springer	fla		Societies with low-level food production economies occupy the vast and diverse middle ground between hunting-fishing-foraging and agriculture. Efforts by Ford, Harris, Rindos, Zvelebil, and others to characterize this "in-between" territory are discussed, and a new conceptual framework is proposed. Domestication, the central landmark of this middle ground, is situated well away from the boundaries with hunting-gathering and agriculture, and separates low-level food production economies into two broad categories. Key issues and questions concerning societies with low-level food production, both with and without domesticates, are discussed. Hunter-gatherer and agriculture boundary zones on either side of the middle ground are considered, as are the developmental pathways that traverse them.	
10.2307/41053254	10.2307/41053254	The Archaeology of Trading Systems, Part 1: Towards a New Trade Synthesis	Rahul Oka, Chapurukha M. Kusimba	Journal of Archaeological Research	16	4	2008-12-01T00:00:00Z	pp. 339-395	Springer	fla		After almost three centuries of investigations into the question of what it means to be human and the historical processes of becoming human, archaeologists have amassed a huge volume of data on prehistoric human interactions. One of the largest data sets available is on the global distribution and exchange of materials and commodities. What still remains insufficiently understood is the precise nature of these interactions and their role in shaping the diverse cultures that make up the human family as we know it. A plethora of theoretical models combined with a multitude of methodological approaches exist to explain one important aspect of human interaction— trade— and its role and place in shaping humanity. We argue that trade parallels political, religious, and social processes as one of the most significant factors to have affected our evolution. Here we review published literature on archaeological approaches to trade, including the primitivist-modemist and substantivist-formalist-Marxist debates. We also discuss economic, historical, and ethnographic research that directly addresses the role of traders and trade in both past and contemporary societies. In keeping with the complexities of interaction between trade and other aspects of human behavior, we suggest moving away from the either/or perspective or strong identification with any particular paradigm and suggest a return to the middle through a combinational approach to the study of trade in past societies.	
10.2307/41053238	10.2307/41053238	Front Matter		Journal of Archaeological Research	15	3	2007-09-01T00:00:00Z		Springer	mis			
10.2307/41053214	10.2307/41053214	Front Matter		Journal of Archaeological Research	13	1	2005-03-01T00:00:00Z		Springer	mis			
10.2307/41053218	10.2307/41053218	Recent Research in Puebla Prehistory	Patricia Plunket, Gabriela Uruñuela	Journal of Archaeological Research	13	2	2005-06-01T00:00:00Z	pp. 89-127	Springer	fla		This review of recent research in the state of Puebla, Mexico, focuses on six issues: (1) reevaluations of the Tehuacan Valley Archaic; (2) rural household archaeology at Tetimpa; (3) the impact of Popocatépetl's eruptions; (4) the city of Cholula; (5) the Nahua-Otomangue frontier; and (6) new perspectives on the Mixteca-Puebla art style. Not only do these topics illustrate the scope of archaeological work, but they can be linked to broader anthropological themes like the origins and spread of agriculture, relationships between rural populations and emergent cities, the environmental, social, and cultural impact of natural disasters, the operation of geographical frontiers and ethnic interfaces, the construction of cultural landscapes, and the connections between political organization and art style. Puebla's location along numerous environmental and cultural divides makes it an excellent laboratory for the study of human interaction across diverse kinds of frontiers.	
10.2307/41053278	10.2307/41053278	Recent Advances in Moche Archaeology	Claude Chapdelaine	Journal of Archaeological Research	19	2	2011-06-01T00:00:00Z	pp. 191-231	Springer	fla		The discovery of the royal tombs at Sipán in 1987 propelled Moche archaeology to the forefront of Andean studies. In the last decade, the study of Moche political organization and ideology through public architecture, cultural remains, funerary patterns, and iconography has forced the revision of previous conceptions about Moche state formation, urbanism, and the functioning of this complex society. Major advances in iconography, internal organization of urban centers, temples and domestic architecture, craft production, and mortuary patterns are embedded in a new chronology that supports a longer development and a more gradual collapse. The recognition of Moche as the first state in South America is still valid, but its monolithic character is rejected in favor of several autonomous polities. The number and size of potential Moche states are currently debated, as is the role of warfare and ideology in Moche state formation.	
10.2307/23018401	10.2307/23018401	Household Archaeology in the Southeastern United States: History, Trends, and Challenges	Thomas J. Pluckhahn	Journal of Archaeological Research	18	4	2010-12-01T00:00:00Z	pp. 331-385		fla		This review highlights archaeological investigations of prehistoric and historic households in southeastern North America. There are a number of inherent challenges to the archaeology of households in the region, including generally poor preservation and a long history of relatively insubstantial domestic architecture. An appraisal of the historical development of household archaeology developed slowly in the Southeast, largely in reaction to trends in other areas of the world. Over the last decade, however, southeastern archaeologists have been at the vanguard of the application of new approaches to households. From an early focus on generalizable patterns of domestic activities and behavior, researchers increasingly view households as historical constructs situated within larger landscapes. Prominent areas of concern include enduring issues such as status variation, production, and consumption but also newer themes such as gender, identity and ethnicity, agency and power, and ritual and symbolism. Some of the most innovative studies explore the intersections of these topics. Conceptual and methodological challenges remain, but the household endures as a practical and productive focus of analysis and interpretation for southeastern archaeologists more than 30 years after household research in the area began.	
10.2307/41053068	10.2307/41053068	Doing Great Basin Archaeology Recently: Coping with Variability	Robert L. Bettinger	Journal of Archaeological Research	1	1	1993-03-01T00:00:00Z	pp. 43-66	Springer	fla		Great Basin archaeologists spent the 1970s and most of the 1980s tearing down the Desert Culture hypothesis without presenting compelling means for dealing with the empirical variability that made it untenable. Recent research seeks to understand this variability by examining the effect of key variables in extreme environmental contexts, especially in wetlands and at high altitudes, and by developing and refining models of optimality that anticipate variability as the local expression of general evolutionary ecological principles. Research on intraregional and ethnic variability has lagged behind — the former because it is said to be costly, the latter because it is problematical in theory.	
10.2307/41053065	10.2307/41053065	Front Matter		Journal of Archaeological Research	1	1	1993-03-01T00:00:00Z		Springer	mis			
10.2307/41680525	10.2307/41680525	Inner Asian States and Empires: Theories and Synthesis	J. Daniel Rogers	Journal of Archaeological Research	20	3	2012-09-01T00:00:00Z	pp. 205-256	Springer	fla		By 200 B.C. a series of expansive polities emerged in Inner Asia that would dominate the history of this region and, at times, a very large portion of Eurasia for the next 2,000 years. The pastoralist polities originating in the steppes have typically been described in world history as ephemeral or derivative of the earlier sedentary agricultural states of China. These polities, however, emerged from local traditions of mobility, multiresource pastoralism, and distributed forms of hierarchy and administrative control that represent important alternative pathways in the comparative study of early states and empires. The review of evidence from 15 polities illustrates long traditions of political and administrative organization that derive from the steppe, with Bronze Age origins well before 200 B.C. Pastoralist economies from the steppe innovated new forms of political organization and were as capable as those based on agricultural production of supporting the development of complex societies.	
10.2307/41053264	10.2307/41053264	New Developments in the Use of Spatial Technology in Archaeology	Mark D. McCoy, Thegn N. Ladefoged	Journal of Archaeological Research	17	3	2009-09-01T00:00:00Z	pp. 263-295	Springer	fla		Spatial technology is integral to how archaeologists collect, store, analyze, and represent information in digital data sets. Recent advances have improved our ability to look for and identify archaeological remains and have increased the size and complexity of our data sets. In this review we outline trends in visualization, data management, archaeological prospecting, modeling, and spatial analysis, as well as key advances in hardware and software. Due to developments in education, information technology, and landscape archaeology, the implementation of spatial technology has begun to move beyond superficial applications and is no longer limited to environmental deterministic approaches. In the future, spatial technology will increasingly change archaeology in ways that will enable us to become better practitioners, scholars, and stewards.	
10.2307/23018400	10.2307/23018400	Front Matter		Journal of Archaeological Research	18	4	2010-12-01T00:00:00Z			mis			
10.2307/41053180	10.2307/41053180	Carnivory, Coevolution, and the Geographic Spread of the Genus Homo	Mary C. Stiner	Journal of Archaeological Research	10	1	2002-03-01T00:00:00Z	pp. 1-63	Springer	fla		This review traces the colonization of Eurasia by hominids some 1,700,000 years ago and their subsequent evolution there to 10,000 years ago from a carnivorous perspective. Three zooarchaeological trends reflect important shifts in hominid adaptations over this great time span: (1) increasing predation on large, hoofed animals that culminated in prime-adult-biased hunting, a predator-prey relationship that distinguishes humans from all other large predators and is a product of coevolution with them; (2) greater diet breadth and range of foraging substrates exploited in response to increasing human population densities, as revealed by small-game use; and (3) increased efficiency in food capture, processing, and energy retention through technology, and the eventual expansion of technology into social (symbolic) realms of behavior. Niche boundary shifts, examined here in eight dimensions, tend to cluster at 500 thousand years ago (KYA), at 250 KYA, and several in rapid succession between 50 and 10 KYA. Most of these shifts appear to be consequences of competitive interaction, because high-quality, protein-rich resources were involved. Many of the boundary shifts precede major radiations in the equipment devoted to animal exploitation. With a decline in trophic level after 45 KYA, demographic increase irreversibly altered the conditions of natural selection on human societies, from a largely interspecific competitive forum to one increasingly defined by intraspecific pressures. Regionalization of Upper Paleolithic artifact styles is among the many symptoms of this process.	
10.2307/41053166	10.2307/41053166	Front Matter		Journal of Archaeological Research	7	2	1999-06-01T00:00:00Z		Springer	mis			
10.2307/41053111	10.2307/41053111	Recent Research in the Archaeology of Architecture: Beyond the Foundations	Sharon R. Steadman	Journal of Archaeological Research	4	1	1996-03-01T00:00:00Z	pp. 51-93	Springer	fla		Although architectural remains have always been a principal focus of archaeological investigation, research on such remains, particularly small-scale structures, has taken on new importance because of the information they can offer on human behavior. This article provides a review of recent trends in the archaeology of architecture (mainly domestic in nature), including current work in household archaeology and spatial patterning analysis of architectural remains, and discusses the new models and methodologies being generated to interpret these remains. The main areas covered in this review include the New World, Mesoamerica in particular, Europe, and general focus on recent work in the Near East.	
10.2307/41053134	10.2307/41053134	Front Matter		Journal of Archaeological Research	4	4	1996-12-01T00:00:00Z		Springer	mis			
10.2307/41053088	10.2307/41053088	Changing Perceptions of West Africa's Past: Archaeological Research Since 1988	Susan Keech McIntosh	Journal of Archaeological Research	2	2	1994-06-01T00:00:00Z	pp. 165-198	Springer	fla		Archaeological research since 1988 in West Africa has focused almost exclusively on the period since 10,000 B. P. Significant advances have been made in our understanding of the Late Stone Age in the Sahara and Savanna zones, the advent of metallurgy and subsequent changes in metal technology, and the comparative trajectories of complex societies in different regions. Increasingly, data are being recovered that fail to conform to earlier Eurocentric assumptions emphasizing linear, progressive change through a series of evolutionary u ages and stages.'' The search for new, more appropriate models for interpreting West Africa's past has infused the discipline with great theoretical vitality. Both ethnoarchaeological studies and traditional archaeological research programs in West Africa are contributing substantially to the articulation of new theoretical frameworks for African archaeology and potentially for the discipline as a whole.	
10.2307/41053158	10.2307/41053158	Archaeological Views of Aztec Culture	Mary G. Hodge	Journal of Archaeological Research	6	3	1998-09-01T00:00:00Z	pp. 195-238	Springer	fla		To understand Aztec society most scholars have relied heavily on the rich and abundant documents written during the 16th and 17th centuries. But new archaeological fieldwork is yielding data that supplement the documents; it ojfers new insights into Aztec society that contribute to comparative studies of complex societies. Publications from 1989 to 1997 emphasize (1) chronologies based on archaeological evidence rather than texts; (2) the origins of the Aztecs and the nature of the preimperial period; (3) developmental sequences and internal organization of individual sites and polities; (4) the economies of households, communities, and regions; and (5) the impact of the Aztec empire on subject regions.	
10.2307/41053121	10.2307/41053121	Front Matter		Journal of Archaeological Research	8	1	2000-03-01T00:00:00Z		Springer	mis			
10.2307/41053183	10.2307/41053183	Bioarchaeology: The Lives and Lifestyles of Past People	Clark Spencer Larsen	Journal of Archaeological Research	10	2	2002-06-01T00:00:00Z	pp. 119-166	Springer	fla		Skeletons represent the most direct evidence of the biology of past populations, and their study provides insight into health and well-being, dietary history, lifestyle (activity), violence and trauma, ancestry, and demography. These areas help inform our understanding of a range of issues, such as the causes and consequences of adaptive shifts in the past (e.g., foraging to farming, sedentarism), the biological impact of invasion and colonization, differential access to food and other resources (e.g., by gender or status), and conflict and warfare. Central to bioarchaeological inquiry are the interaction between biology and behavior and the role of environment on health and lifestyle. Bioarchaeological analysis has traditionally focused on local settings. However, important perspective on general questions of human adaptation is possible both regionally and globally.	
10.2307/41053073	10.2307/41053073	Between East and West: Archaeology in the New Eastern Europe	Peter Bogucki	Journal of Archaeological Research	1	2	1993-06-01T00:00:00Z	pp. 145-166	Springer	fla		The collapse of Communism in eastern Europe has led to significant changes in the research climate for archaeology. Traditional sources of funds have evaporated while others are becoming available. Personnel have changed and many institutions find themselves in a precarious position. Nonetheless, archaeological research has continued throughout the waning days of the People's Democracies and into the new era of market economies. Ibis article surveys the state of archaeological research in eastern Europe between the Elbe and the Pripet Marshes and between the Baltic and the Adriatic during the late 1980s and early 1990s.	
10.2307/41053181	10.2307/41053181	Recent Research on Chaco: Changing Views on Economy, Ritual, and Society	Barbara J. Mills	Journal of Archaeological Research	10	1	2002-03-01T00:00:00Z	pp. 65-117	Springer	fla		Current research on Chaco Canyon and its surrounding outlier communities is at an important juncture. Rather than trying to argue for the presence or absence of complexity, archaeologists working in the area are asking different questions, especially how Chacoan political, economic, ritual and social organization were structured. These lines of inquiry do not attempt to pigeonhole Chaco into traditional neoevolutionary types, but instead seek to understand the historical trajectory that led to the. construction of monumental architecture in Chaco Canyon and a large part of the northern Southwest in the 10th through 12th centuries. This review discusses the conclusions of current research at Chaco including definitions of the Chaco region, recent fieldwork, histories of Chaco archaeology, chronology, paleoenvironmental reconstruction, demography, political organization, outlier communities, economic organization, social organization, ritual, violence, and the post-Chacoan reorganization. Although many issues are hotly debated, there is a growing concensus that power was not based in a centralized political organization and that ritual organization was a key factor in the replication of Chacoan architecture across a vast regional landscape. Exactly how ritual social and political organization intersected is a central question for Chaco scholars. The resolution of this problem will prove to be of interest to all archaeologists working with intermediate societies across the globe.	
10.2307/41053178	10.2307/41053178	The Archaeology of Aquatic Adaptations: Paradigms for a New Millennium	Jon M. Erlandson	Journal of Archaeological Research	9	4	2001-12-01T00:00:00Z	pp. 287-350	Springer	fla		Although aquatic resources are often seen as central to the development of post-Pleistocene cultural complexity, most models of human evolution have all but ignored the role of aquatic or maritime adaptations during the earlier stages of human history. When did aquatic resources, maritime adaptations, and seafaring first play a significant role in human evolution? I explore this fundamental question by (1) reviewing various theories on the subject; (2) discussing a variety of problems that prevent archaeologists from providing a clear answer; and (3) examining the archaeological record for evidence of early aquatic resource use or seafaring. I conclude that aquatic resources, wherever they were both abundant and relatively accessible, have probably always been used opportunistically by our ancestors. Evidence suggests, however, that aquatic and maritime adaptations (including seafaring) played a significantly greater role in the demographic and geographic expansion of anatomically modern humans after about 150,000 years ago. Another significant expansion occurred somewhat later in time, with the development of more sophisticated seafaring, fishing, and marine hunting technologies.	
